house_size_marla,num_residents,working_residents,urban_rural,energy_saving_appliances,weekend,month,temperature,num_lights,hours_lights,num_fans,hours_fans,num_AC,hours_AC,num_fridge,num_washing_machine,hours_washing_machine,num_TV,hours_TV,num_computer,hours_computer,num_water_heater,hours_water_heater,num_oven,hours_oven,num_microwave,hours_microwave,num_iron,hours_iron,num_water_pump,hours_water_pump,total_appliances,avg_daily_kwh,kwh_per_resident,monthly_kwh
16,4,2,Urban,0,0,2,14.2,11,3.1,5,6.1,2,11.2,1,1,0.6,1,3.3,2,5.8,3,1.3,1,1.9,0,2.0,1,1.0,1,2.2,29,57.6,431.7,1726.8
7,3,3,Rural,0,0,6,33.9,17,7.8,4,7.919999999999999,0,8.04,2,0,0.66,3,3.4100000000000006,1,1.8,0,0.9,1,1.87,0,0.3,1,0.2,1,1.9,30,23.4,234.3,702.9
19,5,3,Urban,0,1,2,17.8,11,3.8,3,11.4,2,2.5,2,0,0.55,1,7.370000000000001,2,4.5,1,0.8,1,0.66,0,0.2,0,0.6,1,0.5,24,21.1,126.6,633.0
0,7,1,Urban,1,0,6,31.7,11,7.2,3,4.919999999999999,0,0.72,1,1,0.0,3,4.95,2,4.8,2,0.7,0,1.6500000000000001,0,1.7,1,0.9,0,1.8,24,14.8,63.4,443.7
64,5,1,Urban,0,0,7,35.9,10,7.3,2,9.0,5,2.76,1,1,0.3,2,2.3,1,0.7,2,0.9,2,1.6,2,1.3,1,0.7,0,1.6,29,49.3,295.8,1478.9
14,7,2,Urban,1,0,2,14.8,7,6.3,6,8.6,1,1.6,2,1,0.33,3,1.6500000000000001,2,7.1,3,1.7,0,0.8800000000000001,0,0.9,1,0.2,0,0.8,26,28.6,122.6,858.5
32,3,2,Urban,0,0,7,31.6,22,4.8,3,10.799999999999999,2,2.76,1,1,0.2,2,7.3,0,3.4,1,1.8,1,1.1,1,1.6,0,0.9,1,0.0,35,32.3,322.7,968.0
12,8,3,Urban,0,0,10,23.1,17,5.1,6,7.9,3,11.7,1,0,0.2,2,6.6,3,5.9,2,1.6,1,1.9,0,0.6,1,0.3,0,2.5,36,77.2,289.7,2317.4
23,7,3,Urban,0,0,8,31.8,10,5.9,4,10.92,4,2.4,2,2,0.0,2,1.2,0,4.9,3,3.6,1,1.8,2,2.0,1,0.3,0,0.7,31,80.5,345.0,2415.3
29,4,3,Rural,0,0,4,28.0,17,7.3,5,7.6,2,6.3,2,2,0.0,3,7.1,1,4.7,1,3.2,2,1.4,2,0.9,0,0.1,0,2.6,37,56.0,420.1,1680.4
5,8,1,Urban,0,0,12,20.3,12,7.7,6,7.7,1,2.8,2,0,1.0,1,7.2,1,3.7,0,3.2,1,1.6,1,1.3,0,0.6,0,2.1,25,20.7,77.7,621.4
75,3,1,Rural,0,0,7,31.9,22,7.9,4,10.68,5,1.08,2,1,0.6,3,6.7,3,0.6,2,0.9,2,1.6,1,0.4,0,0.6,0,0.4,45,42.2,422.2,1266.6
47,6,1,Urban,1,0,1,13.8,13,3.9,4,5.8,4,2.9,2,2,0.5,4,6.0,3,1.2,3,1.5,1,0.6,2,0.2,0,0.6,0,0.7,38,39.1,195.7,1174.0
70,7,2,Rural,1,0,7,29.1,14,6.0,4,12.0,2,9.96,1,2,0.2,3,5.2,0,6.1,2,0.9,1,0.2,2,0.0,0,0.3,1,0.2,32,44.4,190.4,1332.7
67,7,1,Urban,0,0,10,30.8,16,3.0,3,10.1,3,2.4,2,1,1.0,3,3.7,0,3.5,1,2.9,2,1.3,1,1.2,0,0.1,0,0.5,32,36.8,157.6,1103.2
26,8,2,Rural,0,0,2,12.4,23,7.8,4,6.1,3,1.7,2,2,0.1,5,4.4,1,5.9,2,3.5,1,1.1,1,1.8,1,0.4,1,1.0,46,58.5,219.3,1754.3
60,6,2,Urban,0,0,7,35.8,25,7.2,4,5.04,3,1.44,2,0,0.7200000000000001,5,6.75,3,1.4,3,2.2,2,0.7200000000000001,2,1.2,1,0.9,0,0.4,50,60.9,304.7,1828.1
0,6,2,Urban,0,1,1,13.0,10,3.2,3,7.8,0,1.8,2,0,0.9900000000000001,2,6.6000000000000005,0,3.7,0,3.5,0,0.0,0,0.3,0,0.8,1,0.8,18,10.0,50.2,301.4
7,3,1,Urban,0,1,11,24.3,6,5.2,1,8.4,3,0.4,1,0,0.66,4,7.590000000000001,2,4.7,2,3.6,0,0.66,0,0.7,0,0.6,1,2.8,20,45.0,449.8,1349.5
2,8,3,Urban,1,0,11,19.7,17,3.1,2,11.1,2,2.2,2,1,0.45,3,2.3400000000000003,2,5.7,1,2.7,1,0.36000000000000004,0,0.9,0,0.4,0,3.0,31,22.8,85.4,683.2
11,5,1,Urban,1,0,8,34.0,13,7.8,3,9.12,2,13.2,2,0,0.5,2,6.3,1,6.3,1,1.6,1,0.8,1,1.7,0,0.2,0,1.8,26,61.7,370.0,1850.0
12,6,1,Rural,0,0,10,27.5,8,3.2,2,5.4,1,12.0,1,1,0.8,2,4.7,1,7.3,3,3.8,1,1.9,1,0.1,1,0.6,0,2.8,22,73.4,366.8,2200.7
12,7,1,Urban,0,1,4,25.3,10,7.9,3,8.0,1,8.9,2,0,1.1,2,1.87,1,3.2,2,0.9,1,0.55,0,0.2,0,0.2,1,1.0,23,34.9,149.7,1047.6
40,6,2,Urban,0,1,12,15.2,24,6.4,6,11.8,2,6.5,1,2,0.9900000000000001,2,1.683,1,0.3,3,1.1,1,0.09900000000000002,2,1.1,0,0.8,0,0.4,44,48.0,240.2,1441.2
11,3,3,Rural,0,0,10,29.4,22,5.7,3,10.2,4,0.8,2,0,0.0,4,1.8,1,6.7,1,3.3,1,0.1,0,0.6,0,0.2,1,2.7,39,40.0,400.3,1200.8
14,3,1,Rural,1,0,7,33.8,10,3.9,3,12.360000000000001,4,11.76,1,0,1.0,4,2.2,0,7.3,2,1.7,0,0.6,0,0.1,1,0.4,1,1.7,26,93.5,934.8,2804.3
22,7,1,Urban,0,1,11,19.1,20,6.0,4,11.8,2,2.2,2,0,0.9680000000000002,5,4.840000000000001,1,3.6,3,0.8,1,0.0,2,1.6,1,0.4,1,2.8,42,44.5,190.6,1334.3
7,7,2,Urban,0,1,6,36.0,20,7.8,1,8.52,0,10.56,1,0,0.19800000000000004,1,6.336000000000001,1,7.2,1,1.6,1,0.5940000000000001,0,0.1,0,0.6,1,1.4,27,23.8,101.9,713.5
44,7,1,Urban,1,0,4,27.7,14,6.6,5,11.2,5,11.8,2,0,0.3,5,7.1,0,6.0,3,0.5,1,1.1,2,0.9,0,0.7,1,2.3,38,106.7,457.5,3202.3
0,5,1,Urban,1,0,12,8.6,5,5.9,6,4.7,3,9.8,2,1,0.8,3,7.4,2,1.4,0,0.8,1,1.1,0,0.9,0,1.0,0,1.9,23,37.2,223.0,1114.8
76,7,2,Urban,0,0,9,29.8,12,4.9,4,6.5,4,7.3,1,1,0.2,3,1.6,3,4.7,1,1.9,1,0.8,1,2.0,0,0.3,1,1.8,32,72.7,311.4,2179.6
41,8,1,Urban,0,0,6,39.8,17,6.4,6,12.239999999999998,4,2.64,2,2,0.4,3,5.9,1,2.4,2,1.9,1,0.7,1,0.2,1,0.1,0,2.7,40,52.2,195.6,1564.6
5,3,3,Urban,1,0,2,13.3,10,7.7,2,5.9,0,12.0,1,1,0.3,4,3.1,0,2.4,1,2.2,1,1.9,1,1.8,1,0.7,1,2.3,23,24.1,241.0,723.1
3,3,2,Urban,0,1,11,20.1,7,7.0,3,8.7,3,1.2,1,0,0.22000000000000003,1,5.06,3,3.1,2,1.8,1,0.11000000000000001,0,1.1,0,0.5,0,2.3,21,25.7,256.7,770.2
46,6,3,Urban,0,0,3,21.5,11,7.2,5,8.4,4,9.0,2,1,0.6,3,5.4,0,1.5,3,1.5,2,0.9,1,1.6,1,1.0,1,1.0,34,87.4,436.9,2621.6
35,7,1,Urban,1,0,2,15.4,20,7.7,6,9.9,2,3.3,1,0,0.4,4,4.3,1,0.9,1,0.5,2,1.5,1,1.6,0,0.2,0,2.6,38,29.8,127.5,892.5
36,5,2,Urban,0,0,7,34.5,15,4.8,3,6.0,5,0.24,1,0,0.0,4,3.0,3,7.2,3,3.5,1,0.8,2,1.0,1,0.9,0,0.8,38,59.1,354.6,1773.2
43,8,2,Urban,0,0,7,29.6,23,4.4,3,11.4,3,4.68,2,0,0.4,3,1.7,3,0.4,3,0.7,2,0.9,2,2.0,0,0.8,0,1.8,44,50.1,188.0,1504.0
2,4,1,Urban,0,0,9,29.0,7,8.0,4,8.9,3,7.9,2,2,0.81,2,3.33,1,1.2,2,1.3,0,0.54,0,1.5,0,0.2,0,2.1,23,60.8,455.8,1823.3
13,6,3,Rural,1,0,9,32.0,13,3.1,7,7.4,3,11.0,2,1,0.7,3,7.4,3,7.8,1,2.0,1,0.6,1,0.6,1,1.0,1,1.0,37,71.2,355.8,2134.6
9,8,1,Rural,1,0,3,16.3,11,3.3,4,4.8,3,0.5,2,0,0.1,4,1.7,3,6.7,1,1.3,0,0.6,1,0.8,1,0.3,0,2.7,30,14.0,52.6,421.0
52,5,2,Rural,1,1,11,21.3,20,5.6,5,4.9,4,9.8,2,1,0.5940000000000001,2,3.0690000000000004,2,4.2,2,3.7,2,1.485,1,0.9,0,0.6,1,2.6,42,97.6,585.6,2927.8
22,7,2,Urban,0,0,10,32.9,25,3.0,6,11.4,2,6.5,1,0,0.0,4,5.2,3,2.3,1,3.8,2,1.6,2,0.8,0,0.1,1,0.9,47,59.5,254.8,1783.8
13,5,2,Urban,0,0,3,17.8,21,4.1,7,4.4,4,5.8,2,0,0.0,2,4.05,2,0.3,2,3.3,0,0.9900000000000001,1,1.7,0,0.4,0,0.8,41,72.1,432.8,2163.9
1,4,1,Rural,0,0,11,27.4,18,5.1,5,7.9,0,9.0,2,1,0.1,2,3.3,1,5.9,1,2.4,1,1.2,0,0.8,1,0.1,0,3.0,32,24.3,182.2,728.6
13,8,1,Rural,1,0,12,18.6,8,6.6,4,5.5,3,2.8,1,0,0.8800000000000001,3,8.25,0,5.1,1,1.8,0,0.66,0,1.0,0,0.8,0,2.7,20,22.8,85.6,685.1
12,5,1,Rural,0,1,3,19.6,10,7.1,5,6.9,2,8.0,2,2,0.22000000000000003,4,6.38,2,0.9,2,2.8,1,1.2100000000000002,1,1.6,0,0.1,0,0.9,31,61.7,370.4,1851.8
32,4,3,Urban,0,0,9,31.6,12,4.7,3,11.9,5,3.8,1,1,0.4,3,1.8,2,0.8,1,2.4,1,0.2,1,1.4,0,0.2,0,2.4,30,51.3,385.1,1540.3
26,4,3,Urban,0,0,6,34.6,25,3.3,2,7.919999999999999,4,9.12,2,2,0.1,3,2.4,2,4.7,3,0.6,2,1.0,1,1.6,1,0.4,1,1.6,48,91.8,688.2,2752.9
61,8,3,Rural,0,0,3,24.0,17,5.4,3,7.4,4,0.3,2,0,0.8,5,2.6,2,0.7,3,1.1,1,1.4,2,0.7,1,0.5,1,1.5,41,34.5,129.3,1034.5
15,4,2,Urban,0,0,8,35.7,14,4.0,5,12.839999999999998,3,13.56,2,0,0.9900000000000001,4,8.14,1,4.9,3,2.6,1,0.9900000000000001,1,0.9,1,1.0,1,1.7,36,126.8,950.7,3802.9
6,8,3,Urban,0,0,11,15.3,8,3.1,2,5.5,1,10.9,1,2,0.9,2,7.2,0,3.6,1,2.7,1,1.8,1,1.6,1,0.9,0,2.4,20,34.3,128.7,1029.9
30,5,2,Urban,0,1,1,15.4,25,4.4,4,6.6,3,11.2,2,0,0.19800000000000004,5,5.643000000000001,3,4.7,2,2.6,2,1.683,1,0.9,0,0.6,1,1.9,48,88.3,529.9,2649.5
45,7,3,Urban,1,0,8,38.8,25,5.1,5,11.76,5,1.08,2,1,0.18000000000000002,4,6.39,2,6.3,2,0.0,1,1.4400000000000002,1,0.8,1,0.6,1,1.6,50,33.8,144.8,1013.8
22,3,3,Urban,0,1,10,32.7,13,4.1,6,8.4,2,1.8,1,1,0.9900000000000001,4,7.326000000000001,0,6.0,1,0.5,2,0.5940000000000001,2,0.6,0,0.9,0,1.8,32,24.1,241.0,723.0
46,3,2,Urban,0,0,3,17.6,23,5.0,2,10.8,4,10.8,2,2,0.7,2,6.0,1,0.1,1,1.2,1,1.4,1,0.4,1,0.1,0,1.0,40,75.8,758.0,2274.0
19,5,1,Urban,0,0,9,30.6,12,3.5,5,5.2,1,8.7,1,1,0.0,1,4.7,1,2.5,3,0.3,1,1.4,0,0.3,1,0.2,1,2.8,28,34.2,205.0,1024.9
24,7,3,Urban,1,0,10,28.0,15,7.3,3,8.0,5,5.4,1,0,0.5,4,4.8,2,6.6,2,0.4,2,1.1,1,1.5,1,0.6,0,2.7,36,54.4,233.3,1632.9
18,3,2,Urban,0,0,6,30.9,12,6.1,7,14.28,4,4.2,1,1,0.6,2,2.5,0,0.4,2,0.9,1,1.6,1,1.7,1,0.6,0,1.5,32,53.1,531.4,1594.1
1,4,1,Urban,1,0,8,33.5,6,4.1,2,9.24,1,12.239999999999998,1,2,0.22000000000000003,2,2.3100000000000005,0,0.3,1,3.6,1,0.55,1,1.3,1,0.6,1,1.9,19,41.7,312.6,1250.3
6,5,1,Rural,0,0,6,33.3,16,5.9,4,7.199999999999999,2,11.88,1,2,0.3,2,5.2,3,1.7,2,3.5,0,0.5,1,0.8,0,0.1,1,1.8,34,89.6,537.7,2688.5
4,5,1,Urban,1,1,10,29.4,12,5.6,6,11.5,2,3.2,2,0,1.1,4,5.390000000000001,1,4.8,0,4.0,0,2.09,1,0.1,1,0.7,1,1.4,30,25.9,155.5,777.3
20,6,2,Urban,1,0,6,33.8,23,6.2,6,14.04,4,7.08,2,2,0.8,3,3.8,3,4.2,2,3.9,1,0.4,2,1.1,1,0.8,0,0.9,49,92.9,464.4,2786.2
11,6,3,Urban,0,0,5,33.8,13,6.4,6,12.839999999999998,4,9.0,2,1,0.0,3,2.2,2,5.4,1,2.5,1,1.9,0,1.1,0,0.5,0,2.4,33,95.4,477.0,2861.8
28,6,3,Urban,0,0,2,13.9,11,6.2,5,5.9,4,1.4,2,0,0.6,4,5.2,1,7.7,2,1.5,2,0.4,1,0.9,0,0.4,0,2.0,32,31.9,159.7,958.4
60,8,3,Urban,1,1,7,35.0,17,3.3,3,6.0,2,13.92,2,1,0.44000000000000006,2,8.25,1,4.5,3,3.1,2,0.8800000000000001,1,0.8,0,1.0,0,0.2,34,85.4,320.2,2561.2
5,7,1,Urban,0,0,4,23.2,15,5.4,2,4.9,2,9.5,2,0,0.6,1,4.6,3,4.1,1,2.8,1,0.2,0,0.6,0,0.0,0,2.4,27,48.2,206.5,1445.6
15,5,3,Urban,1,0,4,34.2,7,7.0,6,6.8,2,7.9,1,0,0.8,4,4.3,0,6.8,3,3.8,0,0.8,0,0.9,1,0.6,0,1.1,24,71.7,430.1,2150.3
46,6,2,Urban,1,0,10,22.6,19,6.5,7,11.6,5,10.4,1,0,0.1,5,2.4,2,0.2,2,1.3,2,0.2,2,0.6,1,0.2,0,0.5,46,91.4,457.2,2743.1
8,5,3,Urban,0,0,9,30.9,11,7.0,2,7.5,0,1.9,1,0,0.7,4,4.3,0,7.4,2,3.8,1,1.8,1,1.4,1,0.4,0,2.4,23,43.8,262.6,1313.0
3,4,3,Urban,1,0,4,27.9,10,6.2,1,11.8,2,8.1,2,1,0.8,4,2.7,0,1.7,2,2.1,1,0.6,0,0.1,0,0.9,1,1.5,24,48.9,366.5,1466.1
14,6,3,Rural,0,0,12,19.9,15,6.5,2,6.6,1,1.2,2,0,0.6,1,7.2,0,3.4,1,0.1,0,0.2,0,1.3,1,0.6,0,2.3,23,12.6,63.2,379.5
8,5,3,Urban,0,0,9,33.2,7,6.6,1,5.6,0,2.2,1,0,0.3,2,5.0,3,6.3,0,2.5,1,0.9,1,1.1,0,0.9,0,0.2,16,9.7,57.9,289.7
66,7,2,Rural,1,0,5,35.3,18,4.4,2,5.76,4,3.7199999999999998,2,0,0.5,3,3.8,2,4.0,1,1.7,2,1.6,1,0.8,1,0.6,1,0.5,37,43.7,187.1,1309.9
49,8,3,Rural,0,0,11,18.6,14,6.0,4,9.5,5,6.2,2,1,0.5,5,7.8,0,4.6,3,2.3,2,1.4,1,1.1,1,0.9,0,2.1,38,84.8,318.1,2544.9
26,7,1,Rural,0,1,10,20.1,14,3.2,2,7.3,3,1.6,2,2,0.22000000000000003,3,8.58,3,5.5,1,3.3,1,0.11000000000000001,2,0.1,0,0.2,0,0.0,33,29.3,125.7,880.2
53,7,3,Rural,0,0,2,17.0,15,6.7,4,10.3,4,7.8,2,2,0.4,3,7.5,1,4.2,3,1.2,2,0.7,1,1.9,1,0.4,0,2.0,38,72.7,311.5,2180.4
41,6,1,Urban,0,0,4,26.1,12,5.1,3,9.2,4,1.4,2,2,0.7,2,6.2,3,0.4,2,3.8,1,0.4,1,0.3,0,0.4,1,0.9,33,54.5,272.4,1634.6
6,7,1,Urban,0,1,1,15.9,8,7.8,6,7.3,1,3.4,1,0,0.11000000000000001,1,2.4200000000000004,1,4.1,2,1.0,0,0.0,1,2.0,1,0.7,1,1.8,23,28.3,121.4,849.6
68,8,1,Rural,0,0,3,20.2,21,5.5,6,9.7,4,8.9,2,2,0.7,4,7.9,3,5.8,1,2.7,2,1.0,2,1.4,0,0.6,1,1.4,48,88.2,330.8,2646.8
24,3,2,Urban,0,0,9,30.7,19,4.9,7,8.4,3,8.4,1,0,0.81,4,2.3400000000000003,0,4.8,1,1.1,2,0.81,1,0.9,1,0.3,1,3.0,40,73.7,737.4,2212.2
48,8,1,Urban,0,0,7,36.5,15,3.4,2,6.119999999999999,2,12.96,2,0,0.6,5,1.4,0,6.5,3,0.4,1,1.0,2,1.1,1,0.1,1,0.0,34,61.1,229.1,1833.0
68,4,1,Urban,1,0,9,36.9,14,5.4,2,9.8,3,7.0,2,0,0.6,2,7.4,3,2.0,1,0.2,2,1.0,2,1.6,1,0.6,1,2.8,33,60.2,451.8,1807.1
13,8,3,Urban,0,0,1,12.0,16,4.1,2,4.2,1,10.4,1,1,0.7,4,4.8,1,1.0,1,0.5,1,0.2,0,1.2,0,0.8,1,2.4,29,29.6,111.0,887.7
8,5,2,Urban,0,0,4,24.1,15,4.6,6,7.7,1,10.2,1,1,0.4,4,2.8,0,2.2,2,2.9,1,1.9,0,1.1,1,0.6,0,0.5,32,51.6,309.6,1548.2
6,3,2,Urban,0,0,12,16.0,12,7.7,3,8.4,0,5.5,1,2,0.9,1,7.0,3,6.3,0,3.4,0,0.1,1,0.0,1,0.3,1,2.9,25,21.5,215.0,644.9
18,6,2,Rural,1,1,9,32.7,13,4.4,2,10.7,2,10.2,1,2,0.66,2,1.7600000000000002,2,2.4,1,2.0,1,0.8800000000000001,1,0.1,1,0.5,1,2.1,29,52.9,264.3,1585.9
43,5,1,Urban,0,1,7,33.2,10,4.5,4,9.6,2,10.319999999999999,1,2,1.2100000000000002,2,7.623000000000001,2,6.5,3,3.4,2,2.2990000000000004,1,0.7,1,0.9,0,1.9,30,97.8,586.6,2932.9
